site_id,site_longitude,site_latitude,node_index,node_longitude,node_latitude
AQ,-70.852886,42.53003,30519,-70.85324097,42.52923203
CB,-70.68275,42.6572,10516,-70.68325806,42.65803146
CI,-70.64148,42.00146,40426,-70.64258575,42.00193405
DC,-70.67422,42.66801,9047,-70.67404938,42.66926956
LH,-70.95276,42.43701,54834,-70.95298004,42.43642426
NB,-70.65669,42.59809,14293,-70.65595245,42.59909821
PC,-70.68233,41.98567,48084,-70.68138123,41.98622894
PI,-70.91592,42.42002,34093,-70.9154892,42.42037582
SH,-70.61506,42.00343,29654,-70.6150589,42.00271606
WB,-70.80848,42.55635,26161,-70.80905151,42.55604172
CC,-70.911218,41.595157,20049,-70.91480255,41.59440231
DL,-70.976588,41.528514,14118,-70.97628784,41.52872467
GB,-70.673056,41.524995,47561,-70.67324829,41.52479172
LI,-70.648689,41.611945,46620,-70.64800262,41.61169815
OB,-70.657151,41.741083,71010,-70.65740204,41.7410965
WC,-70.647106,41.690511,56460,-70.64680481,41.69110107
WI,-70.824288,41.582794,21787,-70.82630157,41.58330154
